hr	世
hu	屯|虎
hg	嬰
hq	甸
hn	ㄆ|芻|匋
hp	武|勻
hv	匊
h;	皆
h,	顛
sd	春|抇
sm	青|抈
sa	責|扒
st	耒
sw	泰|段
sf	抄
sz	秦
sl	找
sj	丰|翠
sx	奏
si	折
se	扛
sk	邦|挕
sb	夫
sh	慧
ss	奉
so	扣
sc	拓|砉
sr	拑
su	扎|毛
sg	表
sq	毒|鹵
sn	素|ㄗ|舂
sp	扑|斿
s;	習
s,	？
om	肙
oa	只|叭|員
ot	呆
of	烏|吙
oy	吐
oz	路|呏
ol	呈
oj	單
ox	吳
oi	嚴|叩
oe	屈
ok	咠|咡
ob	足
oh	叱
os	兄
oo	呂
oc	另|叻
or	咁
ou	巳|包
og	民|吆
oq	居
on	ㄜ|ㄖ|ㄦ|ˊ|咢
op	號|吇
ov	咪
o;	黽
o,	咩
cd	區
cm	肩
ca	匹|巽
ct	牙
cw	尿|泵|砅
cf	馬
cy	翟
cz	刀
cl	尉
cj	耳|辟
cx	尹
ci	臣
ce	刁|詹|矼
ck	那
cb	尺|厥
ch	尼
cs	犀
co	叵|召
cc	巨|羽|砳
cr	扁
cu	己|已
cg	長|展
cq	眉|屇
cn	屋|ㄙ|ㄕ|ㄣ
cp	矷
cv	屎
c;	司|扈
c,	匽
rd	昔
rm	萬
ra	共|菳
rt	某|葉
rw	藝
rf	燕|苂
ry	董|芏|雚
rz	蔑
rl	義|茂
rj	華|卅|革
rx	英|艾
ri	草
re	甘
rk	芎|茸
rb	蒙
rh	芯|葛
rs	羊|堇|羋
ro	若|善|荅
rc	刑
rr	井|并|卌
ru	巷
rg	農
rq	曲|苗|酋|苜
rn	莫|ㄊ|ㄤ
rp	芓
rv	芝
r;	鄭|茧|菂|冓
r,	黃
ud	晉
um	庸
ua	崟
ut	臬
uw	康
uy	崔
uz	匕|密
ul	兔
uj	巂
ux	凶
ui	屮|耑
ue	空
uk	前
ub	庚|疌
uh	惠
us	專
uo	唐
uc	岩
ur	豈
uu	出|屾|艸
ug	妻
uq	雷
un	ㄨ|ㄩ|||岑
uv	崩
u;	豐
u,	|
gd	昏
gm	師
ga	賓
gt	樂
gw	奴|彔
gf	糸
gy	壯
gz	姀
gl	幾|戕
gj	連
gx	便|矣
gi	斷|凵
ge	氐|妅
gk	鄉
gb	以|彖
gh	感
gs	將|妦
go	如
gc	幻|幼
gr	姏
gu	奾
gg	妝|奻
gq	牆|甾
gn	ㄑ|ˇ
gp	好
gv	寶
g;	巢|姑
g,	牂
qd	曹
qm	胃
qa	四|貫
qt	果|困
qf	黑
qy	里
qz	縣|囷
ql	禺
qj	畢|毋|毌
qx	因
qi	甲
qe	國
qk	則|眲
qb	囚
qh	思
qs	尊
qo	回
qc	男
qr	鼎
qu	見
qg	畏|囡
qq	圖
qn	累|ㄓ|ㄠ
qp	母|囝
qv	眯
q;	豊
q,	困|眻
nd	肴|曶
nm	朔
na	兼
nt	”
nw	毀
nf	京|廌
ny	坐
nz	「
nl	約
nj	」
nx	奐
ni	希
ne	紅|巠
nk	亨
nb	豪|臾
nh	忽
no	谷
nc	“
nr	紺|舁
nu	兒
ng	鼠|襄
nq	細
nn	絲|臿
np	享
nv	覺
n;	含
n,	局
pd	逢
pm	高
pa	六|亦|亢
pt	施
pw	般|叔
pf	孫|焉
py	主
pz	步|歲
pl	廷
pj	斗
px	文
pi	卓|舯
pe	上|舡
pk	夜|郭|邡
pb	逐|亥
ph	此|虍
ps	建
po	占
pc	邊|方|迉
pr	立|遂
pu	齒|孔|舢|辿
pg	亡|衣|玄
pq	畜|貞
pn	齊|逆|ㄩ|ㄚ
pp	於|卞|孖
pv	迷
p;	延
p,	過
vd	魯
vm	爾
va	買
vt	朱|栗
vw	眾
vf	票
vy	羅|壟|垔
vz	穌
vl	、
vj	籵|睪
vx	奧
vi	覃
ve	生|魟
vk	聾
vb	失
vh	念|愻
vo	告
vc	制|礱
vr	益|魽
vu	先
vg	要|籹
vq	贊
vn	甹
vp	罪|籽
vv	粟|卍
v;	蜀|蠪
v,	鮮
;d	朁|蚎
;m	胡|鬲
;a	資|虮
;t	柔|蚞
;w	泉
;f	原
;y	臺
;z	鬱
;l	皇
;j	率|皋
;i	帝
;e	言|虹
;k	及
;b	楚
;s	蚌
;o	喜
;c	務
;r	監|蚶
;u	覽
;g	良
;q	首
;n	蜵|矞
;p	旁
;v	卒
;;	；|帛
;,	蛘
,d	耆
,m	骨
,a	舜
,t	栽
,w	受|愛
,f	狄|羔
,y	窒
,l	狂
,j	載
,x	美
,i	狆
,e	差
,k	弮
,h	恙
,s	拳
,o	容|哉|咼
,c	券|羲
,r	對
,u	亂|羌
,g	養|姜
,q	眷
,n	卷|絭
,v	鯗
,;	蛓
,,	，|离
